votingcountry,country,Jury A,Jury B,Jury C,Jury D,Jury E,juryrank,televoterank,Jury Vote,Televote Vote  
Armenia,Ukraine,7,20,21,14,23,16,2,0,10
Armenia,Malta,3,5,3,4,3,3,6,8,5
Armenia,Georgia,2,2,2,2,2,2,3,10,8
Armenia,Austria,18,16,23,20,21,22,7,0,4
Armenia,United Kingdom,19,18,15,23,13,19,20,0,0
Australia,Belgium,1,2,1,1,1,1,1,12,12
Australia,Czech Republic,18,23,4,14,22,16,25,0,0
Australia,The Netherlands,10,14,11,4,10,8,16,3,0
Australia,Azerbaijan,7,20,15,15,11,12,22,0,0
Australia,Hungary,22,6,10,24,23,19,19,0,0
Australia,Italy,11,16,24,16,16,17,23,0,0
Australia,Israel,4,3,3,2,2,2,14,10,0
Australia,Bulgaria,2,1,7,3,3,3,2,8,10
Australia,Sweden,16,21,22,17,25,23,20,0,0
Australia,Germany,19,12,16,12,17,14,21,0,0
Australia,France,5,7,13,7,5,5,4,6,7
Australia,Poland,25,19,14,25,12,22,15,0,0
Australia,Cyprus,23,18,6,20,21,20,13,0,0
Australia,Serbia,8,17,21,13,7,11,17,0,0
Australia,Lithuania,6,4,5,5,4,4,10,7,1
Australia,Croatia,17,8,8,19,13,10,18,1,0
Australia,Russia,24,13,17,22,8,18,6,0,5
Australia,Spain,3,5,18,6,6,6,9,5,2
Australia,Latvia,14,9,25,8,24,15,11,0,0
Australia,Ukraine,13,10,9,9,9,9,3,2,8
Australia,Malta,15,24,19,18,14,21,5,0,6
Australia,Georgia,21,25,20,21,18,25,24,0,0
Australia,Austria,20,15,23,23,20,24,8,0,3
Australia,United Kingdom,9,11,2,11,15,7,7,4,4
Australia,Armenia,12,22,12,10,19,13,12,0,0
Austria,Belgium,1,12,10,6,9,6,14,5,0
Austria,Czech Republic,12,7,7,9,7,7,23,4,0
Austria,The Netherlands,9,11,11,7,16,11,5,0,6
Austria,Azerbaijan,23,17,9,8,5,12,24,0,0
Austria,Hungary,14,16,17,25,19,19,11,0,0
Austria,Italy,22,18,13,11,22,17,13,0,0
Austria,Israel,10,14,12,12,15,13,17,0,0
Austria,Bulgaria,6,10,14,17,20,14,6,0,5
Austria,Sweden,3,5,4,10,4,3,4,8,7
Austria,Germany,17,21,24,19,18,23,9,0,2
Austria,France,5,3,3,18,3,4,10,7,1
Austria,Poland,20,25,25,23,25,25,1,0,12
Austria,Australia,2,1,1,1,2,1,8,12,3
Austria,Cyprus,24,19,21,20,21,24,16,0,0
Austria,Serbia,13,13,23,24,24,22,7,0,4
Austria,Lithuania,16,6,6,16,10,10,20,1,0
Austria,Croatia,8,9,5,5,8,5,19,6,0
Austria,Russia,21,8,8,4,6,8,3,3,8
Austria,Spain,19,20,20,3,11,15,15,0,0
Austria,Latvia,18,24,19,22,13,21,18,0,0
Austria,Ukraine,15,15,16,13,23,16,2,0,10
Austria,Malta,11,2,2,2,1,2,25,10,0
Austria,Georgia,25,23,15,14,17,20,21,0,0
Austria,United Kingdom,7,22,22,21,14,18,22,0,0
Austria,Armenia,4,4,18,15,12,9,12,2,0
Azerbaijan,Belgium,17,11,23,23,23,22,16,0,0
Azerbaijan,Czech Republic,10,23,14,18,10,16,20,0,0
Azerbaijan,The Netherlands,4,14,21,11,16,13,19,0,0
Azerbaijan,Hungary,3,22,8,6,3,7,4,4,7
Azerbaijan,Italy,13,21,19,19,21,21,13,0,0
Azerbaijan,Israel,6,6,4,7,20,8,5,3,6
Azerbaijan,Bulgaria,7,2,6,5,9,3,3,8,8
Azerbaijan,Sweden,23,16,18,16,17,20,12,0,0
Azerbaijan,Germany,20,19,17,24,22,23,22,0,0
Azerbaijan,France,12,9,5,20,18,12,7,0,4
Azerbaijan,Poland,14,4,11,10,6,9,8,2,3
Azerbaijan,Australia,11,7,3,8,5,4,9,7,2
Azerbaijan,Cyprus,16,20,22,12,19,19,17,0,0
Azerbaijan,Serbia,21,15,10,21,15,18,24,0,0
Azerbaijan,Lithuania,8,12,7,9,4,6,18,5,0
Azerbaijan,Croatia,9,8,20,14,8,11,21,0,0
Azerbaijan,Russia,1,1,1,1,1,1,1,12,12
Azerbaijan,Spain,15,10,12,15,7,10,15,1,0
Azerbaijan,Latvia,22,13,15,17,13,17,14,0,0
Azerbaijan,Ukraine,2,3,2,2,2,2,2,10,10
Azerbaijan,Malta,5,5,9,3,14,5,6,6,5
Azerbaijan,Georgia,24,24,24,22,24,24,10,0,1
Azerbaijan,Austria,18,18,13,13,11,15,11,0,0
Azerbaijan,United Kingdom,19,17,16,4,12,14,23,0,0
Azerbaijan,Armenia,25,25,25,25,25,25,25,0,0
Belarus,Belgium,10,7,7,4,9,7,18,4,0
Belarus,Czech Republic,22,24,17,16,19,20,25,0,0
Belarus,The Netherlands,12,11,6,12,18,11,21,0,0
Belarus,Azerbaijan,13,12,12,11,8,9,3,2,8
Belarus,Hungary,7,25,18,6,10,13,8,0,3
Belarus,Italy,23,10,23,24,17,19,19,0,0
Belarus,Israel,11,23,22,13,12,16,16,0,0
Belarus,Bulgaria,8,9,13,17,11,10,7,1,4
Belarus,Sweden,3,3,3,5,3,3,9,8,2
Belarus,Germany,25,19,24,19,21,23,20,0,0
Belarus,France,19,20,19,20,14,18,14,0,0
Belarus,Poland,16,21,5,9,22,14,5,0,6
Belarus,Australia,9,4,8,2,7,5,10,6,1
Belarus,Cyprus,14,15,14,22,23,17,11,0,0
Belarus,Serbia,20,22,21,21,16,22,24,0,0
Belarus,Lithuania,2,8,1,1,4,2,12,10,0
Belarus,Croatia,17,16,26,14,25,21,23,0,0
Belarus,Russia,1,1,2,3,2,1,1,12,12
Belarus,Spain,15,5,10,18,15,12,17,0,0
Belarus,Latvia,21,17,25,23,24,24,6,0,5
Belarus,Ukraine,4,6,4,7,1,4,2,7,10
Belarus,Malta,6,2,9,8,6,6,22,5,0
Belarus,Georgia,18,18,11,15,13,15,15,0,0
Belarus,Austria,26,13,20,26,26,26,13,0,0
Belarus,United Kingdom,24,26,15,25,20,25,26,0,0
Belarus,Armenia,5,14,16,10,5,8,4,3,7
Belgium,Czech Republic,13,14,8,8,9,10,23,1,0
Belgium,The Netherlands,3,4,13,7,10,7,2,4,10
Belgium,Azerbaijan,24,18,24,19,20,24,22,0,0
Belgium,Hungary,22,25,21,14,11,20,19,0,0
Belgium,Italy,2,6,5,1,3,2,13,10,0
Belgium,Israel,6,8,15,15,7,9,17,2,0
Belgium,Bulgaria,5,7,10,6,8,5,6,6,5
Belgium,Sweden,25,16,19,20,24,23,10,0,1
Belgium,Germany,16,17,9,21,12,14,21,0,0
Belgium,France,4,1,1,12,16,3,3,8,8
Belgium,Poland,18,13,25,16,19,19,1,0,12
Belgium,Australia,1,2,2,3,1,1,7,12,4
Belgium,Cyprus,17,20,11,22,14,18,14,0,0
Belgium,Serbia,14,12,20,23,13,16,24,0,0
Belgium,Lithuania,7,21,16,17,18,15,12,0,0
Belgium,Croatia,19,22,18,9,15,17,25,0,0
Belgium,Russia,15,5,7,10,17,11,5,0,6
Belgium,Spain,8,11,6,24,6,12,11,0,0
Belgium,Latvia,21,19,22,11,25,22,16,0,0
Belgium,Ukraine,20,10,4,5,2,8,9,3,2
Belgium,Malta,10,24,17,25,21,21,15,0,0
Belgium,Georgia,12,3,14,2,5,4,20,7,0
Belgium,Austria,11,15,3,4,4,6,8,5,3
Belgium,United Kingdom,9,9,12,13,22,13,18,0,0
Belgium,Armenia,23,23,23,18,23,25,4,0,7
Bosnia & Herzegovina,Belgium,14,16,12,6,17,12,15,0,0
Bosnia & Herzegovina,Czech Republic,3,6,8,4,5,5,20,6,0
Bosnia & Herzegovina,The Netherlands,18,17,22,22,22,22,21,0,0
Bosnia & Herzegovina,Azerbaijan,19,5,13,10,15,10,3,1,8
Bosnia & Herzegovina,Hungary,12,19,14,13,13,13,10,0,1
Bosnia & Herzegovina,Italy,22,23,25,23,18,25,18,0,0
Bosnia & Herzegovina,Israel,20,15,26,11,16,18,24,0,0
Bosnia & Herzegovina,Bulgaria,4,12,5,12,11,8,9,3,2
Bosnia & Herzegovina,Sweden,24,20,15,14,20,19,11,0,0
Bosnia & Herzegovina,Germany,25,14,11,15,12,16,16,0,0
Bosnia & Herzegovina,France,7,4,4,8,3,4,7,7,4
Bosnia & Herzegovina,Poland,15,21,16,21,21,20,14,0,0
Bosnia & Herzegovina,Australia,2,1,2,5,2,2,8,10,3
Bosnia & Herzegovina,Cyprus,13,8,17,24,19,17,13,0,0
Bosnia & Herzegovina,Serbia,6,7,3,1,7,3,1,8,12
Bosnia & Herzegovina,Lithuania,26,25,21,9,25,24,23,0,0
Bosnia & Herzegovina,Croatia,9,9,9,3,8,7,2,4,10
Bosnia & Herzegovina,Russia,8,3,10,7,6,6,5,5,6
Bosnia & Herzegovina,Spain,16,18,7,25,9,15,17,0,0
Bosnia & Herzegovina,Latvia,11,22,6,16,10,11,22,0,0
Bosnia & Herzegovina,Ukraine,1,2,1,2,1,1,4,12,7
Bosnia & Herzegovina,Malta,10,11,18,18,14,14,19,0,0
Bosnia & Herzegovina,Georgia,23,24,19,17,23,23,26,0,0
Bosnia & Herzegovina,Austria,21,26,23,26,26,26,6,0,5
Bosnia & Herzegovina,United Kingdom,17,13,24,19,24,21,25,0,0
Bosnia & Herzegovina,Armenia,5,10,20,20,4,9,12,2,0
Bulgaria,Belgium,4,4,1,3,2,2,13,10,0
Bulgaria,Czech Republic,16,22,16,15,12,16,24,0,0
Bulgaria,The Netherlands,17,11,18,5,8,9,23,2,0
Bulgaria,Azerbaijan,18,12,21,22,13,18,10,0,1
Bulgaria,Hungary,23,9,15,24,25,21,16,0,0
Bulgaria,Italy,22,24,22,18,17,24,18,0,0
Bulgaria,Israel,20,8,8,13,15,12,9,0,2
Bulgaria,Sweden,10,17,19,25,22,20,8,0,3
Bulgaria,Germany,24,14,23,21,21,25,22,0,0
Bulgaria,France,15,21,20,20,20,22,12,0,0
Bulgaria,Poland,11,23,12,7,10,11,5,0,6
Bulgaria,Australia,5,3,2,4,1,3,6,8,5
Bulgaria,Cyprus,21,19,24,19,19,23,4,0,7
Bulgaria,Serbia,2,7,4,11,7,6,11,5,0
Bulgaria,Lithuania,12,6,9,17,18,10,15,1,0
Bulgaria,Croatia,19,18,17,16,6,15,25,0,0
Bulgaria,Russia,1,10,5,10,4,5,1,6,12
Bulgaria,Spain,7,16,10,6,11,7,17,4,0
Bulgaria,Latvia,8,13,11,9,23,14,14,0,0
Bulgaria,Ukraine,25,5,7,23,24,17,2,0,10
Bulgaria,Malta,9,2,13,1,5,4,19,7,0
Bulgaria,Georgia,6,20,6,8,16,8,20,3,0
Bulgaria,Austria,13,25,25,14,14,19,7,0,4
Bulgaria,United Kingdom,14,15,14,12,9,13,21,0,0
Bulgaria,Armenia,3,1,3,2,3,1,3,12,8
Croatia,Belgium,6,18,18,15,6,12,18,0,0
Croatia,Czech Republic,18,7,2,1,2,2,20,10,0
Croatia,The Netherlands,1,21,13,21,9,14,15,0,0
Croatia,Azerbaijan,17,9,20,9,20,19,14,0,0
Croatia,Hungary,11,15,12,2,3,6,8,5,3
Croatia,Italy,5,3,5,17,16,8,11,3,0
Croatia,Israel,3,8,6,8,12,4,22,7,0
Croatia,Bulgaria,25,16,19,16,15,20,10,0,1
Croatia,Sweden,10,19,7,19,17,18,4,0,7
Croatia,Germany,14,23,25,25,25,24,16,0,0
Croatia,France,2,4,11,10,7,3,9,8,2
Croatia,Poland,16,10,21,18,5,17,7,0,4
Croatia,Australia,4,6,8,4,1,1,6,12,5
Croatia,Cyprus,9,17,10,11,4,10,13,1,0
Croatia,Serbia,12,11,4,7,14,9,1,2,12
Croatia,Lithuania,8,20,14,14,11,15,23,0,0
Croatia,Russia,19,2,3,6,10,5,3,6,8
Croatia,Spain,22,22,22,20,21,22,19,0,0
Croatia,Latvia,23,5,15,5,8,11,17,0,0
Croatia,Ukraine,24,12,1,12,19,16,2,0,10
Croatia,Malta,7,14,16,13,13,13,24,0,0
Croatia,Georgia,21,25,23,24,24,25,21,0,0
Croatia,Austria,20,13,17,22,22,21,5,0,6
Croatia,United Kingdom,13,24,24,23,23,23,25,0,0
Croatia,Armenia,15,1,9,3,18,7,12,4,0
Cyprus,Belgium,16,19,22,22,18,23,17,0,0
Cyprus,Czech Republic,10,13,19,13,8,11,24,0,0
Cyprus,The Netherlands,23,14,18,23,24,24,20,0,0
Cyprus,Azerbaijan,6,8,16,6,22,9,11,2,0
Cyprus,Hungary,19,7,5,15,6,7,7,4,4
Cyprus,Italy,11,10,12,9,11,8,12,3,0
Cyprus,Israel,7,11,6,4,9,6,15,5,0
Cyprus,Bulgaria,15,12,24,21,12,17,1,0,12
Cyprus,Sweden,13,15,7,16,13,14,10,0,1
Cyprus,Germany,9,21,23,17,20,20,22,0,0
Cyprus,France,14,6,2,5,5,4,5,7,6
Cyprus,Poland,24,24,25,25,25,25,9,0,2
Cyprus,Australia,2,3,3,2,3,2,6,10,5
Cyprus,Serbia,5,16,8,24,10,13,16,0,0
Cyprus,Lithuania,18,17,10,3,17,15,8,0,3
Cyprus,Croatia,3,18,15,11,15,10,25,1,0
Cyprus,Russia,1,1,1,1,1,1,2,12,10
Cyprus,Spain,21,23,9,14,14,16,21,0,0
Cyprus,Latvia,20,5,13,18,7,12,14,0,0
Cyprus,Ukraine,22,4,20,19,19,18,4,0,7
Cyprus,Malta,8,9,4,7,4,5,18,6,0
Cyprus,Georgia,25,22,14,12,21,22,23,0,0
Cyprus,Austria,17,25,21,10,16,19,13,0,0
Cyprus,United Kingdom,12,20,17,20,23,21,19,0,0
Cyprus,Armenia,4,2,11,8,2,3,3,8,8
Czech Republic,Belgium,13,8,6,12,14,9,20,2,0
Czech Republic,The Netherlands,2,6,3,7,6,4,18,7,0
Czech Republic,Azerbaijan,20,12,12,17,16,17,5,0,6
Czech Republic,Hungary,4,2,2,6,2,2,8,10,3
Czech Republic,Italy,9,20,19,8,18,16,22,0,0
Czech Republic,Israel,14,23,17,23,23,21,16,0,0
Czech Republic,Bulgaria,21,7,18,11,11,14,6,0,5
Czech Republic,Sweden,1,1,1,1,1,1,9,12,2
Czech Republic,Germany,24,22,23,16,20,22,19,0,0
Czech Republic,France,7,13,4,5,4,6,11,5,0
Czech Republic,Poland,23,21,21,22,22,23,4,0,7
Czech Republic,Australia,3,10,10,15,17,11,10,0,1
Czech Republic,Cyprus,22,18,25,18,9,19,12,0,0
Czech Republic,Serbia,25,19,16,19,21,20,13,0,0
Czech Republic,Lithuania,8,14,9,10,8,8,15,3,0
Czech Republic,Croatia,5,3,8,2,3,3,25,8,0
Czech Republic,Russia,18,25,24,25,25,25,2,0,10
Czech Republic,Spain,10,17,15,20,10,15,17,0,0
Czech Republic,Latvia,11,11,11,14,7,10,14,1,0
Czech Republic,Ukraine,19,24,22,24,24,24,1,0,12
Czech Republic,Malta,12,4,7,4,5,5,24,6,0
Czech Republic,Georgia,6,9,20,13,15,13,21,0,0
Czech Republic,Austria,16,16,5,9,12,12,7,0,4
Czech Republic,United Kingdom,15,5,13,3,13,7,23,4,0
Czech Republic,Armenia,17,15,14,21,19,18,3,0,8
Denmark,Belgium,3,22,8,8,3,3,3,8,8
Denmark,Czech Republic,17,10,16,19,19,19,25,0,0
Denmark,The Netherlands,2,25,12,6,4,4,4,7,7
Denmark,Azerbaijan,23,14,25,26,13,26,22,0,0
Denmark,Hungary,16,12,21,20,22,24,17,0,0
Denmark,Italy,14,18,13,11,12,12,14,0,0
Denmark,Israel,11,19,2,16,9,9,16,2,0
Denmark,Bulgaria,7,16,4,17,6,5,11,6,0
Denmark,Sweden,5,20,17,10,2,7,1,4,12
Denmark,Germany,20,6,14,24,23,23,19,0,0
Denmark,France,6,23,18,2,20,14,9,0,2
Denmark,Poland,21,17,15,18,26,25,6,0,5
Denmark,Australia,1,26,1,1,1,2,2,10,10
Denmark,Cyprus,26,9,9,21,10,16,18,0,0
Denmark,Serbia,25,5,22,12,14,18,24,0,0
Denmark,Lithuania,13,15,7,7,11,6,5,5,6
Denmark,Croatia,12,3,23,22,25,22,26,0,0
Denmark,Russia,9,24,11,9,15,13,7,0,4
Denmark,Spain,22,21,6,3,8,10,12,1,0
Denmark,Latvia,18,13,19,4,16,15,13,0,0
Denmark,Ukraine,4,2,3,14,5,1,8,12,3
Denmark,Malta,19,8,24,13,17,20,23,0,0
Denmark,Georgia,24,1,10,23,24,21,20,0,0
Denmark,Austria,10,7,26,15,18,17,10,0,1
Denmark,United Kingdom,8,11,5,25,7,8,15,3,0
Denmark,Armenia,15,4,20,5,21,11,21,0,0
Estonia,Belgium,13,18,17,4,12,14,19,0,0
Estonia,Czech Republic,18,23,5,13,19,17,25,0,0
Estonia,The Netherlands,8,4,4,7,13,5,12,6,0
Estonia,Azerbaijan,14,15,20,21,18,19,18,0,0
Estonia,Hungary,19,2,19,26,11,16,11,0,0
Estonia,Italy,10,6,10,24,9,11,13,0,0
Estonia,Israel,25,21,18,25,14,24,22,0,0
Estonia,Bulgaria,20,17,24,17,21,22,14,0,0
Estonia,Sweden,2,3,1,1,1,1,2,12,10
Estonia,Germany,21,20,25,16,22,25,23,0,0
Estonia,France,17,1,9,15,15,10,9,1,2
Estonia,Poland,22,9,23,22,23,23,10,0,1
Estonia,Australia,3,11,2,5,7,2,7,10,4
Estonia,Cyprus,12,5,13,19,6,7,8,4,3
Estonia,Serbia,26,24,26,20,24,26,26,0,0
Estonia,Lithuania,7,14,8,9,2,6,6,5,5
Estonia,Croatia,11,19,16,12,5,13,24,0,0
Estonia,Russia,16,10,11,18,26,18,1,0,12
Estonia,Spain,24,25,15,14,10,20,17,0,0
Estonia,Latvia,4,7,7,8,4,3,4,8,7
Estonia,Ukraine,1,8,3,3,20,4,3,7,8
Estonia,Malta,6,22,6,6,17,9,20,2,0
Estonia,Georgia,23,26,22,2,3,15,15,0,0
Estonia,Austria,9,16,21,23,25,21,5,0,6
Estonia,United Kingdom,5,13,12,10,16,8,21,3,0
Estonia,Armenia,15,12,14,11,8,12,16,0,0
F.Y.R. Macedonia,Belgium,19,7,11,4,13,7,7,4,4
F.Y.R. Macedonia,Czech Republic,20,15,10,11,18,17,25,0,0
F.Y.R. Macedonia,The Netherlands,5,8,24,2,24,9,19,2,0
F.Y.R. Macedonia,Azerbaijan,21,16,8,12,10,10,24,1,0
F.Y.R. Macedonia,Hungary,22,24,12,13,8,20,14,0,0
F.Y.R. Macedonia,Italy,11,17,21,14,21,22,10,0,1
F.Y.R. Macedonia,Israel,14,6,7,15,12,6,16,5,0
F.Y.R. Macedonia,Bulgaria,6,4,4,3,7,2,2,10,10
F.Y.R. Macedonia,Sweden,10,13,23,1,22,13,15,0,0
F.Y.R. Macedonia,Germany,18,25,17,16,23,24,23,0,0
F.Y.R. Macedonia,France,12,14,19,17,11,16,11,0,0
F.Y.R. Macedonia,Poland,2,23,9,18,17,12,9,0,2
F.Y.R. Macedonia,Australia,7,3,3,9,3,3,8,8,3
F.Y.R. Macedonia,Cyprus,23,18,25,19,25,25,17,0,0
F.Y.R. Macedonia,Serbia,3,2,2,20,1,4,1,7,12
F.Y.R. Macedonia,Lithuania,24,22,5,21,5,19,18,0,0
F.Y.R. Macedonia,Croatia,9,11,6,7,14,5,6,6,5
F.Y.R. Macedonia,Russia,1,9,18,22,19,11,3,0,8
F.Y.R. Macedonia,Spain,13,21,20,6,9,14,20,0,0
F.Y.R. Macedonia,Latvia,17,5,22,10,6,8,13,3,0
F.Y.R. Macedonia,Ukraine,4,1,1,5,2,1,5,12,6
F.Y.R. Macedonia,Malta,25,19,14,23,15,23,21,0,0
F.Y.R. Macedonia,Georgia,26,20,26,24,26,26,26,0,0
F.Y.R. Macedonia,Austria,8,10,13,25,20,18,12,0,0
F.Y.R. Macedonia,United Kingdom,15,26,16,8,16,21,22,0,0
F.Y.R. Macedonia,Armenia,16,12,15,26,4,15,4,0,7
Finland,Belgium,18,22,14,19,17,22,17,0,0
Finland,Czech Republic,14,6,7,16,7,8,22,3,0
Finland,The Netherlands,4,2,8,7,8,2,13,10,0
Finland,Azerbaijan,23,25,16,21,19,23,24,0,0
Finland,Hungary,21,23,21,25,20,25,12,0,0
Finland,Italy,16,11,10,3,12,9,16,2,0
Finland,Israel,12,7,12,4,1,4,14,7,0
Finland,Bulgaria,9,17,17,9,22,15,7,0,4
Finland,Sweden,2,1,3,1,6,1,2,12,10
Finland,Germany,13,19,24,10,14,19,25,0,0
Finland,France,17,20,4,11,3,10,8,1,3
Finland,Poland,10,21,11,22,21,20,6,0,5
Finland,Australia,3,3,15,8,4,3,4,8,7
Finland,Cyprus,24,26,25,24,26,26,10,0,1
Finland,Serbia,22,24,13,26,24,24,26,0,0
Finland,Lithuania,5,14,2,17,2,5,11,6,0
Finland,Croatia,11,15,23,20,10,18,20,0,0
Finland,Russia,26,10,6,18,11,14,3,0,8
Finland,Spain,19,12,1,12,23,12,15,0,0
Finland,Latvia,7,16,26,14,5,13,9,0,2
Finland,Ukraine,8,5,22,6,15,11,1,0,12
Finland,Malta,6,8,5,5,18,6,23,5,0
Finland,Georgia,25,18,9,13,25,21,19,0,0
Finland,Austria,1,4,20,2,16,7,5,4,6
Finland,United Kingdom,20,9,19,15,13,16,21,0,0
Finland,Armenia,15,13,18,23,9,17,18,0,0
France,Belgium,16,19,10,16,5,12,7,0,4
France,Czech Republic,17,11,12,12,14,11,23,0,0
France,The Netherlands,2,6,11,8,3,4,15,7,0
France,Azerbaijan,22,14,13,15,4,14,20,0,0
France,Hungary,21,13,14,21,11,20,14,0,0
France,Italy,1,9,1,1,13,1,11,12,0
France,Israel,9,23,21,2,22,17,8,0,3
France,Bulgaria,3,3,4,6,10,2,6,10,5
France,Sweden,10,1,5,5,12,6,9,5,2
France,Germany,24,7,8,14,17,16,18,0,0
France,Poland,25,22,25,24,20,25,4,0,7
France,Australia,4,4,3,4,15,5,12,6,0
France,Cyprus,14,16,15,17,16,18,13,0,0
France,Serbia,15,21,22,25,24,22,17,0,0
France,Lithuania,19,12,20,11,18,21,19,0,0
France,Croatia,11,18,16,13,9,13,24,0,0
France,Russia,18,10,9,20,6,10,5,1,6
France,Spain,8,5,7,19,2,8,10,3,1
France,Latvia,23,24,19,23,23,23,22,0,0
France,Ukraine,12,2,24,10,21,15,2,0,10
France,Malta,6,17,6,3,8,7,25,4,0
France,Georgia,20,25,23,22,25,24,21,0,0
France,Austria,7,8,2,9,1,3,3,8,8
France,United Kingdom,5,20,18,18,19,19,16,0,0
France,Armenia,13,15,17,7,7,9,1,2,12
Georgia,Belgium,1,3,3,9,4,2,21,10,0
Georgia,Czech Republic,15,10,13,15,14,12,20,0,0
Georgia,The Netherlands,8,19,24,14,9,15,15,0,0
Georgia,Azerbaijan,16,20,12,19,20,21,4,0,7
Georgia,Hungary,7,21,20,20,13,19,9,0,2
Georgia,Italy,9,22,23,4,15,14,14,0,0
Georgia,Israel,18,11,5,11,8,8,19,3,0
Georgia,Bulgaria,24,23,14,22,25,24,8,0,3
Georgia,Sweden,3,13,4,6,2,5,11,6,0
Georgia,Germany,19,14,10,8,12,10,13,1,0
Georgia,France,17,15,8,1,7,7,18,4,0
Georgia,Poland,25,9,11,17,24,20,7,0,4
Georgia,Australia,4,2,2,12,3,3,10,8,1
Georgia,Cyprus,10,17,17,16,17,17,12,0,0
Georgia,Serbia,11,16,16,10,10,11,23,0,0
Georgia,Lithuania,6,8,6,13,6,6,6,5,5
Georgia,Croatia,12,7,21,2,19,9,24,2,0
Georgia,Russia,21,18,19,24,23,23,3,0,8
Georgia,Spain,23,12,22,25,11,22,16,0,0
Georgia,Latvia,5,5,7,5,5,4,5,7,6
Georgia,Ukraine,2,1,1,7,1,1,2,12,10
Georgia,Malta,20,4,18,23,16,18,25,0,0
Georgia,Austria,22,25,25,21,18,25,17,0,0
Georgia,United Kingdom,14,24,9,3,21,13,22,0,0
Georgia,Armenia,13,6,15,18,22,16,1,0,12
Germany,Belgium,2,10,7,7,6,6,17,5,0
Germany,Czech Republic,22,21,21,22,22,22,24,0,0
Germany,The Netherlands,11,6,13,4,4,7,8,4,3
Germany,Azerbaijan,25,22,22,21,25,24,23,0,0
Germany,Hungary,12,13,18,20,17,17,19,0,0
Germany,Italy,13,7,11,8,11,8,10,3,1
Germany,Israel,3,1,1,1,1,1,18,12,0
Germany,Bulgaria,14,11,17,13,19,14,7,0,4
Germany,Sweden,1,4,2,3,2,2,3,10,8
Germany,France,8,19,24,18,18,20,13,0,0
Germany,Poland,18,14,16,19,20,19,2,0,10
Germany,Australia,6,3,5,6,8,5,6,6,5
Germany,Cyprus,20,25,25,24,24,25,11,0,0
Germany,Serbia,16,18,23,25,23,21,21,0,0
Germany,Lithuania,15,9,6,15,12,10,15,1,0
Germany,Croatia,5,12,15,11,16,12,22,0,0
Germany,Russia,23,17,10,16,15,18,1,0,12
Germany,Spain,10,16,9,10,14,11,12,0,0
Germany,Latvia,21,8,8,9,7,9,16,2,0
Germany,Ukraine,4,5,4,5,5,4,5,7,6
Germany,Malta,24,24,20,23,21,23,25,0,0
Germany,Georgia,7,2,3,2,3,3,14,8,0
